id;nhogar;zona;v2_3;v4;h2_2;hacinam_3;tipoho_2;fexp
632;1;3;1;4;1;1;1;1094
633;1;1;2;2;2;1;2;670
634;1;2;2;2;2;1;1;656
635;1;2;1;1;2;2;1;258
636;1;2;2;2;1;1;2;781
637;1;1;2;5;1;1;1;64
638;1;3;2;3;1;1;1;667
639;1;2;2;3;2;1;1;710
640;1;1;1;3;1;1;1;734
641;1;2;2;1;1;1;2;1251
642;1;1;2;4;1;1;1;1528
643;1;2;1;6;1;1;1;2027
644;1;1;2;1;2;1;2;157
645;1;2;2;5;3;1;1;585
646;1;2;2;4;1;1;1;2707
647;1;2;2;3;2;1;1;1968
648;1;2;2;3;1;1;3;1416
649;1;2;2;3;1;1;1;1054
650;1;2;2;3;1;1;1;237
651;1;1;2;2;1;1;2;1268
652;1;2;2;3;2;1;1;1106
653;1;2;2;3;1;1;1;979
654;1;2;2;2;1;1;2;657
655;1;2;2;2;2;1;3;1561
656;1;1;2;6;2;1;1;379
657;1;3;2;3;2;1;1;630
658;1;3;1;1;3;2;1;311
659;1;3;1;5;3;1;1;307
660;1;3;1;3;1;2;1;147
661;1;2;3;1;2;2;1;102
662;1;3;2;2;1;2;1;255
663;1;2;1;3;3;1;1;240
664;1;2;3;2;2;2;1;261
665;1;2;3;1;2;2;1;198
666;1;1;2;2;2;1;1;350
667;1;1;2;2;3;1;2;811
668;1;2;2;2;2;1;1;2674
669;1;2;1;3;3;1;1;315
670;1;3;1;1;2;1;2;187
671;1;2;3;1;2;2;1;421
672;1;3;1;3;1;1;3;126
673;1;2;1;1;2;2;1;232
674;1;1;2;4;1;1;1;434
675;1;2;2;2;3;2;1;1422
676;1;2;2;5;1;1;1;1480
677;1;1;2;3;2;1;1;891
678;1;2;1;3;2;1;2;510
679;1;3;2;1;2;2;1;516
680;1;3;2;4;1;1;1;315
681;1;2;2;3;1;1;1;1047
682;1;1;2;4;2;1;1;349
683;1;2;1;3;1;1;1;448
684;1;2;2;1;2;2;1;1665
685;1;2;2;3;1;1;1;1654
686;1;3;2;2;1;1;1;473
687;1;2;2;3;3;1;1;135
688;1;3;2;3;1;1;1;625
689;1;2;2;2;2;2;1;372
690;1;3;1;4;1;1;1;293
691;1;3;1;4;3;1;1;183
692;1;3;1;2;2;2;1;153
693;1;2;2;2;3;1;1;602
694;1;2;3;1;2;1;2;166
695;1;3;2;3;1;1;1;122
696;1;1;2;2;1;1;1;334
697;1;3;1;3;1;1;1;212
698;1;2;2;3;1;1;1;525
699;1;3;1;4;1;1;1;154
700;1;3;1;3;3;2;1;1178
701;1;3;3;1;2;2;1;311
702;1;3;3;1;2;2;1;361
703;1;1;2;3;2;1;1;479
704;1;1;2;3;2;1;1;330
705;1;2;2;1;2;1;2;696
706;1;2;2;2;2;1;1;1706
707;1;2;2;3;1;1;1;1281
708;1;2;2;3;1;1;1;380
709;1;1;2;2;1;1;1;519
710;1;3;2;3;1;1;1;582
711;1;2;2;4;1;1;1;740
712;1;1;2;4;1;1;1;644
713;1;2;2;2;1;2;1;252
714;1;1;2;3;1;1;2;506
715;1;2;1;4;1;1;1;598
716;1;3;2;3;1;1;1;1070
717;1;2;2;2;1;1;1;330
718;1;1;2;2;2;1;1;816
719;1;2;2;3;3;1;1;672
720;1;1;2;2;3;1;2;774
721;1;3;3;3;2;1;1;236
722;1;3;2;2;2;1;1;247
723;1;3;3;4;2;1;1;299
724;1;3;2;2;2;1;1;592
725;1;3;1;3;3;1;1;138
726;1;3;1;4;3;1;1;191
727;1;2;1;2;2;1;1;277
728;1;2;2;3;1;1;1;274
729;1;2;2;3;2;1;1;1607
730;1;3;2;3;1;1;1;480
731;1;2;2;4;2;1;1;585
732;1;2;2;3;1;1;1;303
733;1;2;2;1;2;2;1;503
734;1;1;2;2;2;1;1;376
735;1;2;3;1;2;1;2;548
736;1;2;2;3;3;1;1;1403
737;1;2;1;3;2;1;1;182
738;1;3;3;1;2;2;1;537
739;1;2;2;2;2;1;2;397
740;1;2;1;4;1;1;1;1289
